Country Name,Country Code,GDP Type,Year,GDP Value
"Ireland","IRL","GDP at market prices (current US$)",2006,231995095847.447
"Iran, Islamic Rep.","IRN","GDP at market prices (current US$)",2006,258645743978.38739
"Iraq","IRQ","GDP at market prices (current US$)",2006,65140293687.539459
"Iceland","ISL","GDP at market prices (current US$)",2006,17041293815.901964
"Israel","ISR","GDP at market prices (current US$)",2006,154511423313.43417
"Italy","ITA","GDP at market prices (current US$)",2006,1943530341613.3484
"Jamaica","JAM","GDP at market prices (current US$)",2006,11905525197.328476
"Jordan","JOR","GDP at market prices (current US$)",2006,15056936953.455572
"Japan","JPN","GDP at market prices (current US$)",2006,4356750212598.0122
"Kazakhstan","KAZ","GDP at market prices (current US$)",2006,81003884545.409836
"Kenya","KEN","GDP at market prices (current US$)",2006,25825524820.806427
"Kyrgyz Republic","KGZ","GDP at market prices (current US$)",2006,2834168889.4201913
"Cambodia","KHM","GDP at market prices (current US$)",2006,7274595706.6715412
"Kiribati","KIR","GDP at market prices (current US$)",2006,104668674.69879517
"St. Kitts and Nevis","KNA","GDP at market prices (current US$)",2006,636070988.14814806
"Korea, Rep.","KOR","GDP at market prices (current US$)",2006,1011797457138.5032
"Kosovo","KSV","GDP at market prices (current US$)",2006,4078158323.9242244
"Kuwait","KWT","GDP at market prices (current US$)",2006,101550654720.88214
"Latin America & Caribbean (developing only)","LAC","GDP at market prices (current US$)",2006,2611781726579.0527
"Lao PDR","LAO","GDP at market prices (current US$)",2006,3452882514.001658
"Lebanon","LBN","GDP at market prices (current US$)",2006,21796351575.456051
"Liberia","LBR","GDP at market prices (current US$)",2006,604028900
"Libya","LBY","GDP at market prices (current US$)",2006,54961936662.606575
"St. Lucia","LCA","GDP at market prices (current US$)",2006,1074708501.4074073
"Latin America & Caribbean (all income levels)","LCN","GDP at market prices (current US$)",2006,3366096540634.7515
"Least developed countries: UN classification","LDC","GDP at market prices (current US$)",2006,389689128874.80951
"Low income","LIC","GDP at market prices (current US$)",2006,171650094476.78708
"Liechtenstein","LIE","GDP at market prices (current US$)",2006,4000101033.3563762
"Sri Lanka","LKA","GDP at market prices (current US$)",2006,28279814924.591778
"Lower middle income","LMC","GDP at market prices (current US$)",2006,2531904652292.7681
"Low & middle income","LMY","GDP at market prices (current US$)",2006,10181462013462.154
"Lesotho","LSO","GDP at market prices (current US$)",2006,1428852972.0150633
"Lithuania","LTU","GDP at market prices (current US$)",2006,30216060233.404442
"Luxembourg","LUX","GDP at market prices (current US$)",2006,41913561661.0212
"Latvia","LVA","GDP at market prices (current US$)",2006,21410922999.749184
"Macao SAR, China","MAC","GDP at market prices (current US$)",2006,14568757217.486938
"Morocco","MAR","GDP at market prices (current US$)",2006,65640092773.659554
"Monaco","MCO","GDP at market prices (current US$)",2006,4663488363.0976982
"Moldova","MDA","GDP at market prices (current US$)",2006,3408272498.1151609
"Madagascar","MDG","GDP at market prices (current US$)",2006,5515884348.54904
"Maldives","MDV","GDP at market prices (current US$)",2006,1474698126.1822033
"Middle East & North Africa (all income levels)","MEA","GDP at market prices (current US$)",2006,1776265999918.3525
"Mexico","MEX","GDP at market prices (current US$)",2006,965281191371.84375
"Marshall Islands","MHL","GDP at market prices (current US$)",2006,143656582.76081997
"Middle income","MIC","GDP at market prices (current US$)",2006,10009578121348.359
"Macedonia, FYR","MKD","GDP at market prices (current US$)",2006,6861222331.9631653
"Mali","MLI","GDP at market prices (current US$)",2006,6122647486.5302868
"Malta","MLT","GDP at market prices (current US$)",2006,6365500031.8847914
"Middle East & North Africa (developing only)","MNA","GDP at market prices (current US$)",2006,798229305136.5553
"Montenegro","MNE","GDP at market prices (current US$)",2006,2696020574.5828629
"Mongolia","MNG","GDP at market prices (current US$)",2006,3414055662.5709968
"Mozambique","MOZ","GDP at market prices (current US$)",2006,8312078525.085824
"Mauritania","MRT","GDP at market prices (current US$)",2006,3040716679.0766935
"Mauritius","MUS","GDP at market prices (current US$)",2006,6731529167.6259375
"Malawi","MWI","GDP at market prices (current US$)",2006,3116790612.6965342
"Malaysia","MYS","GDP at market prices (current US$)",2006,162690965596.20523
"North America","NAC","GDP at market prices (current US$)",2006,15172055119874.473
"Namibia","NAM","GDP at market prices (current US$)",2006,7978734401.53585
